"No,Kode Artikel,Nama Artikel,Tier,QTY BOX DDD,QTY BOX LJBB,QTY BOX MBB,TOTAL,QTY PAIRS,Tier Luxodev,Status,Wilbex 2026,accurate,%,31%,10%,8%,0%,0%,51%,100%,0%,100%"
"188,M1AZON2,""MEN ONYX 2, NAVY BLACK"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"189,M1AZCA28,""MEN CLASSIC 28, PLUM BLACK"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"190,MBLACK1,""MEN BLACK SERIES 1, MAROON"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"191,L3CA26,""LADIES CLASSIC 26, LIGHT GREY"",2,0,0,0,0,0,4,,,,,,,,,,,,,"
"192,MBLACK5,""MEN BLACK SERIES 5, PEANUT"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"193,M1AZON3,""MEN ONYX 3, NAVY NAVY"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"194,M1AZSP7,""MEN STRIPE 7, BLACK BROWN0WHITE"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"195,M1AZZDL3,""MEN DALLAS 3, GRAY"",5,0,0,0,0,0,4,,,,,,,,,,,,,"
"196,M1AZZDL4,""MEN DALLAS 4, BROWN"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"197,BB1BZCL1,""BABY BOYS COLLAB 1, DISNEY MICKEY BLACK"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"198,M1BLACK7,""MEN BLACK SERIES 7, TURQUOISE"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"199,M1AZON4,""MEN ONYX 4, BLACK GREY"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"200,BB2BZCL1,""Baby Girls Collab 1, Disney Minnie Pink V2"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"201,M5KSP01,""BOYS STRIPE 1, BLACK TURQUOISE"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"202,BB3BZCL3,""Baby Uni Collab WBB 1 , Blue Navy"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"203,BB3BZCL4,""Baby Uni Collab WBB 2 , Gery Navy"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"204,L3WG02,""LADIES WEDGES 2, JET BLACK"",3,0,0,0,0,0,4,,,,,,,,,,,,,"
"205,L3WG03,""LADIES WEDGES 3, NAVY"",2,0,0,0,0,0,4,,,,,,,,,,,,,"
"206,M1SL08,""MEN SLIDE DERBY 8, BLACK"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"207,M1SL09,""MEN SLIDE ESSENTIALS 9, BLACK"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"208,L3WG04,""LADIES WEDGES 4, GINGER SNAP"",2,0,0,0,0,0,4,,,,,,,,,,,,,"
"209,L3WG07,""LADIES WEDGES 7, SILVER"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"210,M1AZSP1,""MEN STRIPE 1, BLACK BLUE0RED"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"211,M1AZSP11,""MEN STRIPE 11, GRAY LIME"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"212,L1FLO01,""LADIES FLO 1, BLACK"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"213,L1FLO02,""LADIES FLO 2, MINT"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"214,L1FLO03,""LADIES FLO 3, LIGHT BROWN"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"215,L1FLO04,""LADIES FLO 4, LILAC"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"216,M1LN01,""MEN LEON 1, WHITE"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"217,M1LN02,""MEN LEON 2, LIGHT BROWN"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"218,M1LN03,""MEN LEON 3, NAVY"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"219,L3CA25,""LADIES CLASSIC 25, DRAK GREY"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"220,M1BLACK4,""MEN BLACK SERIES 4, LIGHT OLIVE"",2,0,0,0,0,0,4,,,,,,,,,,,,,"
