Kode Artikel,Nama Artikel,Tier,QTY WHS DDD,QTY WHS LJBB,QTY WHS MBB,TOTAL WHS,RO BOX DDD,RO BOX LJBB,RO BOX MBB,TOTAL RO,READY STOCK
L2SM01,"LADIES SUMMER 1,BLACK",4,0,0,0,0,0,0,,0,0
L2SM02,"LADIES SUMMER 2,NAVY",4,0,0,0,0,0,0,,0,0
L2SM03,"LADIES SUMMER 3,PEACH",4,0,0,0,0,0,0,,0,0
L2SM04,"LADIES SUMMER 4,BEAVER FUR",4,0,0,0,0,0,0,,0,0
M1AZSP2,"MEN STRIPE 2, TWILIGHT ORANGE0GREEN",1,0,0,0,0,0,0,,0,0
M1AZSP8,"MEN STRIPE 8, TWILIGHT RED0WHITE",1,0,0,0,0,0,0,,0,0
M1AZSP10,"MEN STRIPE 10, ALMOND BLACK",1,0,0,0,0,0,0,,0,0
L2AZCA27,"Ladies Classic 27, Black Pink",4,0,0,0,0,0,0,,0,0
M1KZSP2,"Boys Stripe 2, Navy Red V2",5,0,0,0,0,0,0,,0,0
L2KZSP2,"Girls Stripe 2, Navy Pink V2",5,0,0,0,0,0,0,,0,0
L3CA29,"LADIES CLASSIC 29, NAVY HOTPINK",1,0,0,0,0,0,0,,0,0
M5KSP02,"BOYS STRIPE 2, NAVY RED",5,0,0,0,0,0,0,,0,0
L7KSP04,"GIRLS STRIPE 4, BLUE FUSCHIA",5,0,0,0,0,0,0,,0,0
L1CA24,"LADIES CLASSIC 24, TEAL GREEN",1,0,0,0,0,0,0,,0,0
M1ON06,"MEN ONYX 6, COFFEE",4,0,0,0,0,0,0,,0,0
B2CL12,BOYS COLLAB 12 BATMAN NAVY GREY,4,0,0,0,0,0,0,,0,0
B2CL13,BOYS COLLAB 13 BATMAN GREY YELLOW,4,0,0,0,0,0,0,,0,0
L1CA27,"LADIES CLASSIC 27,BLACK PINK",4,0,0,0,0,0,0,,0,0
SJ1ACA2,"MEN CLASSIC 2, DARK GRAY",5,0,0,0,0,0,0,,0,0
SJ1ACA3,"MEN CLASSIC 3, TWILIGHT BLUE",5,0,0,0,0,0,0,,0,0
SJ1ACA4,"MEN CLASSIC 4, DAZZLING BLUE",5,0,0,0,0,0,0,,0,0
SJ1ACA5,"MEN CLASSIC 5, MAHOGANY",5,0,0,0,0,0,0,,0,0
SJ1ACA6,"MEN CLASSIC 6, DAZZLING BLUE0DOVE",5,0,0,0,0,0,0,,0,0
SJ1ACA7,"MEN CLASSIC 7, BLACK FORMULA ONE",5,0,0,0,0,0,0,,0,0
SJ1ACA8,"MEN CLASSIC 8, BLACK DAZZLING BLUE",5,0,0,0,0,0,0,,0,0
SJ1ACA9,"MEN CLASSIC 9, AIR BLUE0TWILIGHT",5,0,0,0,0,0,0,,0,0
